ProductID,ProductName,Price,SubCategory,Category
1,Pink Midi Maxi Dress,"₦20,800.00",Dress,Women
2,Pink Abstract Print Mesh Kimono Bandeau Dress,"₦16,800.00",Dress,Women
3,Chartreus Pleated Cut Detail Cami Dress,"₦17,800.00",Dress,Women
4,Burgundy One Shoulder Cutout Waist Dress,"₦23,800.00",Dress,Women
5,Pink Stripe Knit Split Maxi Dress,"₦21,800.00",Dress,Women
6,Orange Knot Front Satin Maxi Dress,"₦23,800.00",Dress,Women
7,Nude Diamante Chain Satin Mini Dress,"₦14,800.00",Dress,Women
8,Blue Ruched Side Strappy Mini Dress,"₦14,800.00",Dress,Women
9,Black Laced Up Back S/S Mini Dress,"₦12,800.00",Dress,Women
10,Blue Strappy Satin Midi Dress,"₦16,800.00",Dress,Women
11,Navy Sweetheart Nackline Mesh Dress,"₦16,800.00",Dress,Women
12,Blue V Neck Mini Dress,"₦13,800.00",Dress,Women
13,Lilac Faux Feather Dress,"₦14,800.00",Dress,Women
14,Green Pleated Waist Shirt Dress,"₦15,800.00",Dress,Women
15,Black Strappy Satin Mini Dress With Folded Neckline,"₦14,800.00",Dress,Women
16,Blue Print Split Maxi Dress,"₦19,800.00",Dress,Women
17,Light Blue Wash Long Straight Leg Jeans,"₦21,800.00",Jeans,Women
18,Light Blue Straight Leg Jeans,"₦21,800.00",Jeans,Women
19,Light Blue Wash Knee Rip Hem Wide Leg Flares,"₦25,800.00",Jeans,Women
20,Light Blue Wash Pocket Skinny Jeans,"₦20,800.00",Jeans,Women
21,Wash Blue Ripped Long Leg Straight Jeans,"₦25,800.00",Jeans,Women
22,Washed Blue Ripped Split Hem Jeans,"₦25,800.00",Jeans,Women
23,BLUE KNEE RIPPED JEANS,"₦21,800.00",Jeans,Women
24,BLUE WAISTBAND WIDE LEG JEANS,"₦21,800.00",Jeans,Women
25,LIGHT BLUE THIGH RIP DENIM SHORT,"₦18,800.00",Jeans,Women
26,BLUE WASH HIGH WAISTED RIPPED DENIM SHORTS,"₦18,800.00",Jeans,Women
27,BLACK DISTRESSED DENIM SHORT,"₦18,800.00",Jeans,Women
28,BLUE WASH HIGH WAISTED TURN UP RIPPED DENIM SHORT,"₦18,800.00",Jeans,Women
29,DARK BLUE WASH HIGH WAISTED RIPPED DENIM SHORT,"₦18,800.00",Jeans,Women
30,BLUE DISTRESSED JEANS,"₦21,800.00",Jeans,Women
31,BLACK FLARE JEANS,"₦21,800.00",Jeans,Women
32,Green Print Long Sleeve Bodysuit,"₦11,800.00",Body Suit,Women
33,White Cutout Bodysuit,"₦13,800.00",Body Suit,Women
34,Red Bandeau Mesh Bodysuit,"₦12,800.00",Body Suit,Women
35,Pink/White Zip Front Mesh Bodysuit,"₦10,800.00",Body Suit,Women
36,Blue Multi Print Long Sleeve Bodysuit,"₦11,800.00",Body Suit,Women
37,ORANGE-YELLOW BODYSUIT,"₦11,800.00",Body Suit,Women
38,PINK/PURPLE BODYSUIT,"₦11,800.00",Body Suit,Women
39,PINK LONG SLEEVE BODYSUIT,"₦10,800.00",Body Suit,Women
40,ZIBRA STRECTH SATIN UNDERWIRED BODYSUIT,"₦11,800.00",Body Suit,Women
41,WHITE SLINKY CUT OUT BODYSUIT,"₦12,800.00",Body Suit,Women
42,Renua Striped Silky Dress - Orange,"₦50,800.00",Dress,Women
43,Renua Striped Silky Dress - Mustard,"₦50,800.00",Dress,Women
44,Amira Technical Organza Oversized Long Sleeve Shirt Dress,"₦46,600.00",Dress,Women
45,Mawi Faux Croc Leather Dress - Sapphire,"₦58,200.00",Dress,Women
46,Mawi Faux Croc Leather Dress - Hot Pink,"₦58,200.00",Dress,Women
47,Zuhi Keyhole Dress - Hot Pink,"₦37,600.00",Dress,Women
48,Simona Mini Dress - Blue,"₦85,400.00",Dress,Women
49,Zuhi Keyhole Dress - Black,"₦37,600.00",Dress,Women
50,Simona Mini Dress - Hot Pink,"₦85,400.00",Dress,Women
51,Lolita Knit Dress,"₦32,400.00",Dress,Women
52,Mawi Faux Croc Leather Dress - Coffee,"₦61,200.00",Dress,Women
53,Acacia Ruched Sleeveless Dress - Yellow,"₦51,300.00",Dress,Women
54,Imade Knitted Long Sleeve Braid Dress - Yellow,"₦56,100.00",Dress,Women
55,Imade Knitted Long Sleeve Braid Dress - Pink,"₦56,100.00",Dress,Women
56,Crew Neck Long Sleeve Mesh Dress- Femi Print Baby Blue,"₦47,100.00",Dress,Women
57,Mesh Crew Neck Long Sleeve Mini Dress- Femi Print Purple,"₦31,900.00",Dress,Women
58,Bea Buttoned Cotton Maxi Dress - White,"₦31,900.00",Dress,Women
59,Radiant Night Heeled Sandals - Silver,"₦21,950.85",Shoes,Women
60,Lost Your Chance Knee High Boots - Silver,"₦43,910.85",Shoes,Women
61,Radiant Night Heeled Sandals - Gold,"₦21,950.85",Shoes,Women
62,Always On My Mind Heeled Sandals - Gold,"₦21,950.85",Shoes,Women
63,I'm Onto You Sneakers - Black,"₦25,610.85",Shoes,Women
64,Got The Look Booties - Ivory,"₦25,610.85",Shoes,Women
65,Sasha Buckle Booties - Black,"₦43,910.85",Shoes,Women
66,Lost Your Chance Knee High Boots - Black,"₦43,910.85",Shoes,Women
67,Fun Nights Knee High Heeled Boots - Blue,"₦36,590.85",Shoes,Women
68,Alessia Embellished Knee High Boots - Denim,"₦51,230.85",Shoes,Women
69,Rhinestone Baby Heeled Mules - Neon Yellow,"₦25,610.85",Shoes,Women
70,Cozy But Cute Wedges - Green,"₦21,950.85",Shoes,Women
71,Got You Jealous Heeled Sandals - Pink,"₦32,015.85",Shoes,Women
72,All That Sparkle Over The Knee Boots - Pink,"₦54,890.85",Shoes,Women
73,Miss The Moment Knee High Heeled Boots - Cream,"₦54,890.85",Shoes,Women
74,Feeling Trendy Cargo Boots - White,"₦45,740.85",Shoes,Women
75,Get Used To It Knee High Boots - Pink,"₦64,040.85",Shoes,Women
76,Always Your Babe Over The Knee Heeled Boots - Rose,"₦32,015.85",Shoes,Women
77,On My Way Out Velvet Boots - Pink,"₦27,440.85",Shoes,Women
78,Carnival Nights Embellished Boots - Blue,"₦27,440.85",Shoes,Women
79,Always Your Babe Over The Knee Heeled Boots - Purple,"₦54,890.85",Shoes,Women
80,Got A Good Thing Sneakers - Denim,"₦27,440.85",Shoes,Women
81,Cool Vibes Sneakers - Denim,"₦27,440.85",Shoes,Women
82,Old School Sneakers - Green,"₦32,015.85",Shoes,Women
83,Fuzzy Moments Slippers - Black,"₦10,970.85",Shoes,Women
84,Sunshine Fine Foam Slides - Black,"₦14,630.85",Shoes,Women
85,Mckinley Embellished Novelty Heels - Purple,"₦29,270.85",Shoes,Women
86,Early Notice Pumps - Purple,"₦19,205.85",Shoes,Women
87,It's Happening Pumps - Black,"₦29,270.85",Shoes,Women
88,Point You In The Right Direction Heel - Black,"₦25,610.85",Shoes,Women
89,Nothing But The Best Wrap Up Heels - Gold,"₦29,270.85",Shoes,Women
90,Always Bold Platform Heels - Gold,"₦25,610.85",Shoes,Women
91,Acting Nice Ballet Flats - Silver,"₦13,715.85",Shoes,Women
92,Everyday Flats - Nude,"₦14,630.85",Shoes,Women
93,Searching For Me Platform Heels - Pink,"₦20,578.35",Shoes,Women
94,Chasing The Thrill Over The Knee Boots - Pink,"₦44,825.85",Shoes,Women
95,An Iconic Look Mules - Orange,"₦13,715.85",Shoes,Women
96,Valet Only Mules - Orange,"₦18,290.85",Shoes,Women
97,Pretty In Thigh High Boots - Black,"₦36,590.85",Shoes,Women
98,Give You What You Need Boots - Black,"₦27,440.85",Shoes,Women
99,Nadine Overlay Wedge Boots - Silver,"₦36,590.85",Shoes,Women
100,Carnival Nights Embellished Boots - Silver,"₦32,015.85",Shoes,Women
101,Black Pleated Micro Mini Skirt,"₦15,800.00",Skirt,Women
102,Khaki Belt Pocket Slit Skirt,"₦15,800.00",Skirt,Women
103,Multi Mini Skirt,"₦7,800.00",Skirt,Women
104,POCKET DETAILED BELTED MINI SKIRT,"₦13,800.00",Skirt,Women
105,BLACK ZEBRA MESH SKIRT,"₦13,800.00",Skirt,Women
106,LAVENDER PLEATED SKIRT,"₦19,800.00",Skirt,Women
107,ORANGE PLEATED MIDI SKIRT,"₦15,800.00",Skirt,Women
108,PINK PLEATED MIDI SKIRT,"₦15,800.00",Skirt,Women
109,MUSTARD A-LINE MINI SKIRT,"₦12,800.00",Skirt,Women
110,MERALD PU CUTOUT MINI SKIRT,"₦13,800.00",Skirt,Women
111,ROYALE BLUE PLEATED SKIRT,"₦19,800.00",Skirt,Women
112,BLACK PU CUTOUT MINI SKIRT,"₦13,800.00",Skirt,Women
113,KHAKI CARGO MINI SKIRT,"₦13,800.00",Skirt,Women
114,BLACK FRINGE MINI BODYCON SKIRT,"₦11,800.00",Skirt,Women
115,LEOPARD PRINT SATIN TIE SIDE MINI SKIRT,"₦9,800.00",Skirt,Women
116,BLACK SATIN MINI SKIRT,"₦9,800.00",Skirt,Women
